FUNCAO,STATUS,Dialect,6,7,8,9,10,11,12,13,14,15,16,17
JSON_TABLE,OK,NOK,N,N,N,N,N,N,N,N,N,N,N,S
JSON_TO_RECORD,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSON_TO_RECORDSET,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSON_TO_TSVECTOR,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSON_TYPEOF,OK,OK,N,N,N,N,N,N,N,S,S,S,S,S
JSON_VALUE,OK,OK,N,N,N,N,N,N,N,N,N,N,N,S
JSON[B]_POPULATE_RECORD,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
JSON[B]_POPULATE_RECORDSET,NOK,NOK,N,N,N,N,S,S,S,N,N,N,N,N
JSON[B]_TO_RECORD,NOK,NOK,N,N,N,N,S,S,S,N,N,N,N,N
JSON[B]_TO_RECORDSET,NOK,NOK,N,N,N,N,S,S,S,N,N,N,N,N
JSONB_AGG,OK,OK,N,N,N,N,S,S,S,S,S,S,S,S
JSONB_AGG_STRICT,NOK,NOK,N,N,N,N,N,N,N,N,N,N,S,S
JSONB_ARRAY_ELEMENTS,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_ARRAY_ELEMENTS_TEXT,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_ARRAY_LENGTH,OK,OK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_BUILD_ARRAY,OK,OK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_BUILD_OBJECT,OK,OK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_EACH,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_EACH_TEXT,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_EXTRACT_PATH,OK,OK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_EXTRACT_PATH_TEXT,OK,OK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_INSERT,OK,OK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_OBJECT,OK,OK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_OBJECT_AGG,OK,OK,N,N,N,N,S,S,S,S,S,S,S,S
JSONB_OBJECT_AGG_STRICT,OK,OK,N,N,N,N,N,N,N,N,N,N,S,S
JSONB_OBJECT_AGG_UNIQUE,OK,OK,N,N,N,N,N,N,N,N,N,N,S,S
JSONB_OBJECT_AGG_UNIQUE_STRICT,OK,OK,N,N,N,N,N,N,N,N,N,N,S,S
JSONB_OBJECT_KEYS,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_PATH_EXISTS,OK,OK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_PATH_EXISTS_TZ,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_PATH_MATCH,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_PATH_MATCH_TZ,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_PATH_QUERY,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_PATH_QUERY_ARRAY,OK,OK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_PATH_QUERY_ARRAY_TZ,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_PATH_QUERY_FIRST,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_PATH_QUERY_FIRST_TZ,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_PATH_QUERY_TZ,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_POPULATE_RECORD,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_POPULATE_RECORD_VALID,NOK,NOK,N,N,N,N,N,N,N,N,N,N,N,S
JSONB_POPULATE_RECORDSET,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_PRETTY,OK,OK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_SET,OK,OK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_SET_LAX,OK,OK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_STRIP_NULLS,OK,OK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_TO_RECORD,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_TO_RECORDSET,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_TO_TSVECTOR,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_TYPEOF,OK,OK,N,N,N,N,N,N,N,S,S,S,S,S
JUSTIFY_DAYS,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
JUSTIFY_HOURS,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
JUSTIFY_INTERVAL,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
LAG,OK,OK,N,N,N,S,S,S,S,S,S,S,S,S
LAST_VALUE,OK,OK,N,N,N,S,S,S,S,S,S,S,S,S
LASTVAL,OK,OK,N,N,N,S,S,S,S,S,S,S,S,S
LCM,OK,OK,N,N,N,N,N,N,N,S,S,S,S,S
LEAD,OK,OK,N,N,N,S,S,S,S,S,S,S,S,S
LEAST,OK,OK,N,N,N,S,S,S,S,S,S,S,S,S
LEFT,OK,OK,N,N,N,N,N,N,N,S,S,S,S,S
LENGTH,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
LIKE,OK,OK,S,S,S,S,S,S,S,S,S,S,S,S
LINE,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
LN,OK,OK,S,S,S,N,N,N,N,S,S,S,S,S
LOCALTIME,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
LOCALTIMESTAMP,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
LOG,OK,OK,N,N,S,N,N,N,N,S,S,S,S,S
LOG10,OK,OK,N,N,N,N,N,N,N,S,S,S,S,S
LOWER,OK,OK,N,N,S,N,S,S,S,S,S,S,S,S
LOWER_INC,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
LOWER_INF,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
LPAD,OK,OK,N,N,S,N,N,N,N,S,S,S,S,S
LSEG,NOK,NOK,N,N,S,N,N,N,N,S,S,S,S,S
LTRIM,OK,OK,N,N,S,N,N,N,N,S,S,S,S,S
MACADDR8_SET7BIT,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
MAKE_DATE,OK,OK,N,N,N,N,N,N,N,S,S,S,S,S
MAKE_INTERVAL,OK,OK,N,N,N,N,N,N,N,S,S,S,S,S
