FUNCAO,STATUS,6,7,8,9,10,11,12,13,14,15,16,17
OBJ_DESCRIPTION,NOK,N,N,S,S,S,S,S,S,S,S,S,S
OCTET_LENGTH,NOK,N,N,S,S,S,S,S,S,S,S,S,S
OVERLAY,NOK,N,N,S,S,S,S,S,S,S,S,S,S
PARSE_IDENT,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PATH,OK,N,N,S,N,N,N,N,S,S,S,S,S
PCLOSE,NOK,N,N,S,N,N,N,N,S,S,S,S,S
PERCENT_RANK,OK,N,N,N,S,S,S,S,S,S,S,S,S
PERCENTILE_CONT,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PERCENTILE_DISC,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_ADVISORY_LOCK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_ADVISORY_LOCK_SHARED,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_ADVISORY_UNLOCK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_ADVISORY_UNLOCK_ALL,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_ADVISORY_UNLOCK_SHARED,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_ADVISORY_XACT_LOCK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_ADVISORY_XACT_LOCK_SHARED,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_AVAILABLE_WAL_SUMMARIES,NOK,N,N,N,N,N,N,N,N,N,N,N,S
PG_BACKEND_PID,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_BACKUP_START,NOK,N,N,N,N,N,N,N,N,N,S,S,S
PG_BACKUP_START_TIME,NOK,N,N,N,N,S,S,S,S,S,N,N,N
PG_BACKUP_STOP,NOK,N,N,N,N,N,N,N,N,N,S,S,S
PG_BASETYPE,NOK,N,N,N,N,N,N,N,N,N,N,N,S
PG_BLOCKING_PIDS,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_CANCEL_BACKEND,NOK,N,N,S,S,S,S,S,S,S,S,S,S
PG_CHAR_TO_ENCODING,NOK,N,N,N,N,N,N,N,N,N,S,S,S
PG_CLIENT_ENCODING,NOK,N,N,S,S,S,S,S,S,S,S,S,S
PG_COLLATION_ACTUAL_VERSION,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_COLLATION_IS_VISIBLE,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_COLUMN_COMPRESSION,NOK,N,N,N,N,N,N,N,N,S,S,S,S
PG_COLUMN_SIZE,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_COLUMN_TOAST_CHUNK_ID,NOK,N,N,N,N,N,N,N,N,N,N,N,S
PG_CONF_LOAD_TIME,NOK,N,N,N,S,S,S,S,S,S,S,S,S
PG_CONTROL_CHECKPOINT,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_CONTROL_INIT,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_CONTROL_RECOVERY,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_CONTROL_SYSTEM,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_CONVERSION_IS_VISIBLE,NOK,N,N,S,N,N,N,N,S,S,S,S,S
PG_COPY_LOGICAL_REPLICATION_SLOT,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_COPY_PHYSICAL_REPLICATION_SLOT,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_CREATE_LOGICAL_REPLICATION_SLOT,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_CREATE_PHYSICAL_REPLICATION_SLOT,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_CREATE_RESTORE_POINT,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_CURRENT_LOGFILE,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_CURRENT_SNAPSHOT,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PG_CURRENT_WAL_FLUSH_LSN,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_CURRENT_WAL_INSERT_LSN,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_CURRENT_WAL_LSN,NOK,N,N,N,N,S,S,S,S,S,S,S,S
PG_CURRENT_XACT_ID,NOK,N,N,N,N,N,N,N,S,S,S,S,S
