FUNCAO,STATUS,30,40,55,56,57,80,84
STDDEV_SAMP,NOK,S,S,S,S,S,S,S
STR_TO_DATE,NOK,S,S,S,S,S,S,N
STRCMP,NOK,S,S,S,S,S,S,S
SUBDATE,NOK,S,S,S,S,S,S,N
SUBSTR,OK,S,S,S,S,S,S,S
SUBSTRING,OK,S,S,S,S,S,S,N
SUBSTRING_INDEX,NOK,S,S,S,S,S,S,S
SUBTIME,NOK,S,S,S,S,S,S,N
SUM,OK,S,S,S,S,S,S,S
SYSDATE,OK,S,S,S,S,S,S,N
SYSTEM_USER,NOK,S,S,S,S,S,S,S
TAN,NOK,S,S,S,S,S,S,N
TIME,OK,S,S,S,S,S,S,S
TIME_FORMAT,NOK,S,S,S,S,S,S,N
TIME_TO_SEC,NOK,S,S,S,S,S,S,S
TIMEDIFF,NOK,S,S,S,S,S,S,N
TIMESTAMP,OK,S,S,S,S,S,S,S
TIMESTAMPADD,OK,S,S,S,S,S,S,N
TIMESTAMPDIFF,NOK,S,S,S,S,S,S,S
TO_BASE64,NOK,N,N,N,S,S,S,N
TO_DAYS,NOK,S,S,S,S,S,S,S
TO_SECONDS,NOK,S,S,S,S,S,S,N
TOUCHES,NOK,N,N,N,S,S,N,N
TRIM,OK,S,S,S,S,S,S,S
TRUNCATE,NOK,S,S,S,S,S,S,N
UCASE,OK,S,S,S,S,S,S,S
UNCOMPRESS,NOK,S,S,S,S,S,S,N
UNCOMPRESSED_LENGTH,NOK,S,S,S,S,S,S,S
UNHEX,NOK,S,S,S,S,S,S,N
UNIX_TIMESTAMP,NOK,S,S,S,S,S,S,S
UPDATEXML,NOK,S,S,S,S,S,S,N
UPPER,OK,S,S,S,S,S,S,S
USER,NOK,S,S,S,S,S,S,N
UTC_DATE,NOK,S,S,S,S,S,S,S
UTC_TIME,NOK,S,S,S,S,S,S,N
UTC_TIMESTAMP,NOK,S,S,S,S,S,S,S
UUID,OK,S,S,S,S,S,S,N
UUID_SHORT,NOK,S,S,S,S,S,S,S
